ID,Date,First Name,Last Name,Email,Company,Product,Quantity,Price,Total,Status,Description
1,2021-09-06,Sarah,Johnson,sarah.johnson@cyberdyne.com,Cyberdyne,Mechanism,28,825.51,23114.28,Cancelled,Ordd\er for 28 x Mechanism placed by Sarah Johnson on 2021-09-06. This is a randomly generated description to add some bulk to the file size.
2,2022-11-25,Joseph,Anderson,joseph.anderson@wayneent.com,Wayne Ent,Widget,75,591.19,44339.25,Refunded,Order for 75 x Widget placed by Joseph Anderson on 2022-11-25. This is a randomly generated description to add some bulk to the file size.
3,2021-08-26,Richard,Davis,richard.davis@soylentcorp.com,Soylent Corp,Device,29,617.03,17893.87,Completed,Order for 29 x Device placed by Richard Davis on 2021-08-26. This is a randomly generated description to add some bulk to the file size.
4,2022-05-14,Mary,Thompson,mary.thompson@umbrellacorp.com,Umbrella Corp,Thingamajig,22,901.88,19841.36,Pending,Order for 22 x Thingamajig placed by Mary Thompson on 2022-05-14. This is a randomly generated description to add some bulk to the file size.
5,2020-05-01,Elizabeth,Robinson,elizabeth.robinson@globex.com,Globex,Apparatus,49,890.19,43619.31,Completed,Order for 49 x Apparatus placed by Elizabeth Robinson on 2020-05-01. This is a randomly generated description to add some bulk to the file size.
6,2023-05-31,Linda,Thompson,linda.thompson@acmecorp.com,Acme Corp,Mechanism,71,186.15,13216.65,Pending,Order for 71 x Mechanism placed by Linda Thompson on 2023-05-31. This is a randomly generated description to add some bulk to the file size.
7,2021-08-11,Charles,Garcia,charles.garcia@umbrellacorp.com,Umbrella Corp,Contraption,69,14.58,1006.02,Active,Order for 69 x Contraption placed by Charles Garcia on 2021-08-11. This is a randomly generated description to add some bulk to the file size.
8,2022-08-25,Patricia,Garcia,patricia.garcia@acmecorp.com,Acme Corp,Doohickey,49,882.3,43232.7,Completed,Order for 49 x Doohickey placed by Patricia Garcia on 2022-08-25. This is a randomly generated description to add some bulk to the file size.
9,2022-10-30,James,Smith,james.smith@cyberdyne.com,Cyberdyne,Gadget,69,663.81,45802.89,Delivered,Order for 69 x Gadget placed by James Smith on 2022-10-30. This is a randomly generated description to add some bulk to the file size.
10,2022-06-07,James,Garcia,james.garcia@tyrellcorp.com,Tyrell Corp,Gadget,43,117.15,5037.45,Cancelled,Order for 43 x Gadget placed by James Garcia on 2022-06-07. This is a randomly generated description to add some bulk to the file size.
11,2020-08-05,William,Smith,william.smith@umbrellacorp.com,Umbrella Corp,Widget,42,686.68,28840.56,Shipped,Order for 42 x Widget placed by William Smith on 2020-08-05. This is a randomly generated description to add some bulk to the file size.
12,2023-01-12,Thomas,Harris,thomas.harris@massivedynamic.com,Massive Dynamic,Whatchamacallit,6,508.51,3051.06,Inactive,Order for 6 x Whatchamacallit placed by Thomas Harris on 2023-01-12. This is a randomly generated description to add some bulk to the file size.
13,2023-07-25,Karen,Robinson,karen.robinson@cyberdyne.com,Cyberdyne,Contraption,78,682.24,53214.72,Active,Order for 78 x Contraption placed by Karen Robinson on 2023-07-25. This is a randomly generated description to add some bulk to the file size.
14,2023-11-19,Karen,Johnson,karen.johnson@massivedynamic.com,Massive Dynamic,Gizmo,31,224.56,6961.36,Shipped,Order for 31 x Gizmo placed by Karen Johnson on 2023-11-19. This is a randomly generated description to add some bulk to the file size.
15,2021-02-22,Susan,Jackson,susan.jackson@cyberdyne.com,Cyberdyne,Gadget,36,430.48,15497.28,Shipped,Order for 36 x Gadget placed by Susan Jackson on 2021-02-22. This is a randomly generated description to add some bulk to the file size.
16,2022-07-05,Elizabeth,Smith,elizabeth.smith@acmecorp.com,Acme Corp,Gizmo,18,443.56,7984.08,Completed,Order for 18 x Gizmo placed by Elizabeth Smith on 2022-07-05. This is a randomly generated description to add some bulk to the file size.
17,2020-02-16,Richard,Jackson,richard.jackson@starkind.com,Stark Ind,Mechanism,62,872.31,54083.22,Delivered,Order for 62 x Mechanism placed by Richard Jackson on 2020-02-16. This is a randomly generated description to add some bulk to the file size.
18,2021-10-11,Sarah,Johnson,sarah.johnson@massivedynamic.com,Massive Dynamic,Apparatus,35,651.92,22817.2,Delivered,Order for 35 x Apparatus placed by Sarah Johnson on 2021-10-11. This is a randomly generated description to add some bulk to the file size.
19,2022-05-26,Michael,Brown,michael.brown@initech.com,Initech,Whatchamacallit,35,79.01,2765.35,Cancelled,Order for 35 x Whatchamacallit placed by Michael Brown on 2022-05-26. This is a randomly generated description to add some bulk to the file size.
20,2022-11-14,Patricia,Jackson,patricia.jackson@globex.com,Globex,Thingamajig,96,835.89,80245.44,Delivered,Order for 96 x Thingamajig placed by Patricia Jackson on 2022-11-14. This is a randomly generated description to add some bulk to the file size.
21,2022-10-26,Mary,Davis,mary.davis@soylentcorp.com,Soylent Corp,Doohickey,55,959.29,52760.95,Returned,Order for 55 x Doohickey placed by Mary Davis on 2022-10-26. This is a randomly generated description to add some bulk to the file size.
22,2020-12-30,Patricia,Wilson,patricia.wilson@umbrellacorp.com,Umbrella Corp,Doohickey,16,832.58,13321.28,Cancelled,Order for 16 x Doohickey placed by Patricia Wilson on 2020-12-30. This is a randomly generated description to add some bulk to the file size.
23,2020-03-21,Michael,Harris,michael.harris@tyrellcorp.com,Tyrell Corp,Gizmo,29,251.67,7298.43,Refunded,Order for 29 x Gizmo placed by Michael Harris on 2020-03-21. This is a randomly generated description to add some bulk to the file size.
24,2021-05-31,Charles,Robinson,charles.robinson@starkind.com,Stark Ind,Device,4,295.05,1180.2,Active,Order for 4 x Device placed by Charles Robinson on 2021-05-31. This is a randomly generated description to add some bulk to the file size.
25,2022-01-30,Karen,Williams,karen.williams@tyrellcorp.com,Tyrell Corp,Widget,33,483.38,15951.54,Returned,Order for 33 x Widget placed by Karen Williams on 2022-01-30. This is a randomly generated description to add some bulk to the file size.
26,2020-05-23,Sarah,Anderson,sarah.anderson@wayneent.com,Wayne Ent,Whatchamacallit,27,632.59,17079.93,Pending,Order for 27 x Whatchamacallit placed by Sarah Anderson on 2020-05-23. This is a randomly generated description to add some bulk to the file size.
27,2022-03-09,William,Wilson,william.wilson@soylentcorp.com,Soylent Corp,Gizmo,85,585.5,49767.5,Delivered,Order for 85 x Gizmo placed by William Wilson on 2022-03-09. This is a randomly generated description to add some bulk to the file size.
28,2023-05-11,Patricia,Johnson,patricia.johnson@soylentcorp.com,Soylent Corp,Contraption,89,301.84,26863.76,Active,Order for 89 x Contraption placed by Patricia Johnson on 2023-05-11. This is a randomly generated description to add some bulk to the file size.
29,2021-10-20,Michael,Williams,michael.williams@cyberdyne.com,Cyberdyne,Thingamajig,15,206.44,3096.6,Returned,Order for 15 x Thingamajig placed by Michael Williams on 2021-10-20. This is a randomly generated description to add some bulk to the file size.
30,2021-09-28,Michael,Miller,michael.miller@massivedynamic.com,Massive Dynamic,Whatchamacallit,49,643.73,31542.77,Delivered,Order for 49 x Whatchamacallit placed by Michael Miller on 2021-09-28. This is a randomly generated description to add some bulk to the file size.
31,2023-01-02,Elizabeth,Moore,elizabeth.moore@tyrellcorp.com,Tyrell Corp,Gizmo,45,677.58,30491.1,Cancelled,Order for 45 x Gizmo placed by Elizabeth Moore on 2023-01-02. This is a randomly generated description to add some bulk to the file size.
32,2021-11-07,James,Brown,james.brown@cyberdyne.com,Cyberdyne,Device,77,624.3,48071.1,Active,Order for 77 x Device placed by James Brown on 2021-11-07. This is a randomly generated description to add some bulk to the file size.
33,2020-05-27,Richard,Jones,richard.jones@acmecorp.com,Acme Corp,Gadget,91,805.17,73270.47,Shipped,Order for 91 x Gadget placed by Richard Jones on 2020-05-27. This is a randomly generated description to add some bulk to the file size.
34,2021-07-16,James,Wilson,james.wilson@wayneent.com,Wayne Ent,Gadget,14,581.1,8135.4,Shipped,Order for 14 x Gadget placed by James Wilson on 2021-07-16. This is a randomly generated description to add some bulk to the file size.
