ID,Date,First Name,Last Name,Email,Company,Product,Quantity,Price,Total,Status,Description
1,2021-09-06,Sarah,Johnson,sarah.johnson@cyberdyne.com,Cyberdyne,Mechanism,28,825.51,23114.28,Cancelled,"Order for 28 x Mechanism placed by Sarah Johnson on 2021-09-06. This is a randomly generated description to add some bulk to the file size."
2,2022-11-25,Joseph,Anderson,joseph.anderson@wayneent.com,Wayne Ent,Widget,75,591.19,44339.25,Refunded,"Order for 75 x Widget placed by Joseph Anderson on 2022-11-25. This is a randomly generated description to add some bulk to the file size."
3,2021-08-26,Richard,Davis,richard.davis@soylentcorp.com,Soylent Corp,Device,29,617.03,17893.87,Completed,"Order for 29 x Device placed by Richard Davis on 2021-08-26. This is a randomly generated description to add some bulk to the file size."
4,2022-05-14,Mary,Thompson,mary.thompson@umbrellacorp.com,Umbrella Corp,Thingamajig,22,901.88,19841.36,Pending,"Order for 22 x Thingamajig placed by Mary Thompson on 2022-05-14. This is a randomly generated description to add some bulk to the file size."
5,2020-05-01,Elizabeth,Robinson,elizabeth.robinson@globex.com,Globex,Apparatus,49,890.19,43619.31,Completed,"Order for 49 x Apparatus placed by Elizabeth Robinson on 2020-05-01. This is a randomly generated description to add some bulk to the file size."
6,2023-05-31,Linda,Thompson,linda.thompson@acmecorp.com,Acme Corp,Mechanism,71,186.15,13216.65,Pending,"Order for 71 x Mechanism placed by Linda Thompson on 2023-05-31. This is a randomly generated description to add some bulk to the file size."
7,2021-08-11,Charles,Garcia,charles.garcia@umbrellacorp.com,Umbrella Corp,Contraption,69,14.58,1006.02,Active,"Order for 69 x Contraption placed by Charles Garcia on 2021-08-11. This is a randomly generated description to add some bulk to the file size."
8,2022-08-25,Patricia,Garcia,patricia.garcia@acmecorp.com,Acme Corp,Doohickey,49,882.3,43232.7,Completed,"Order for 49 x Doohickey placed by Patricia Garcia on 2022-08-25. This is a randomly generated description to add some bulk to the file size."
9,2022-10-30,James,Smith,james.smith@cyberdyne.com,Cyberdyne,Gadget,69,663.81,45802.89,Delivered,"Order for 69 x Gadget placed by James Smith on 2022-10-30. This is a randomly generated description to add some bulk to the file size."
10,2022-06-07,James,Garcia,james.garcia@tyrellcorp.com,Tyrell Corp,Gadget,43,117.15,5037.45,Cancelled,"Order for 43 x Gadget placed by James Garcia on 2022-06-07. This is a randomly generated description to add some bulk to the file size."
